,Country,Total Cases,New Cases,Total Deaths,NewDeaths,Total Recovered,Critical,Region
0,China,"78,514",+450,"2,747",+32,"32,954","8,346",Asia
1,S. Korea,"1,766",+505,13,+1,24,18,Asia
2,Diamond Princess,705,0,4,0,10,36,0
3,Italy,650,+180,17,+5,45,35,Europe
4,Iran,245,+106,26,+7,54,0,Asia
5,Japan,207,+35,4,+1,32,13,Asia
6,Singapore,96,+3,0,0,66,7,Asia
7,Hong Kong,92,+3,2,0,18,6,Asia
8,USA,60,0,0,0,6,0,N.America
9,Kuwait,43,+17,0,0,0,0,Asia
10,Germany,40,+13,0,0,15,2,Europe
11,Thailand,40,0,0,0,22,2,Asia
12,Bahrain,33,0,0,0,0,0,Asia
13,Taiwan,32,0,1,0,5,1,Asia
14,Australia,23,0,0,0,15,0,Oceania
15,Malaysia,22,0,0,0,20,0,Asia
16,U.A.E.,19,+6,0,0,5,2,Asia
17,France,18,0,2,0,11,1,Europe
18,Spain,17,+4,0,0,2,2,Europe
19,Vietnam,16,0,0,0,16,0,Asia
20,U.K.,15,+2,0,0,8,0,Europe
21,Canada,12,0,0,0,3,0,N.America
22,Macao,10,0,0,0,6,0,Asia
23,Iraq,6,+1,0,0,0,0,Asia
24,Oman,6,+2,0,0,0,0,Asia
25,Switzerland,6,+5,0,0,0,0,Europe
26,Philippines,3,0,1,0,2,0,Asia
27,Austria,3,+1,0,0,0,0,Europe
28,Croatia,3,0,0,0,0,0,Europe
29,Greece,3,+2,0,0,0,0,Europe
30,India,3,0,0,0,3,0,Asia
31,Israel,3,+1,0,0,0,0,Asia
32,Lebanon,3,+1,0,0,0,0,Asia
33,Finland,2,0,0,0,1,0,Europe
34,Pakistan,2,0,0,0,0,0,Asia
35,Russia,2,0,0,0,2,0,Europe
36,Sweden,2,0,0,0,0,0,Europe
37,Afghanistan,1,0,0,0,0,0,Asia
38,Algeria,1,0,0,0,0,0,Africa
39,Belgium,1,0,0,0,1,0,Europe
40,Brazil,1,0,0,0,0,0,South America
41,Cambodia,1,0,0,0,1,0,Asia
42,Denmark,1,+1,0,0,0,0,Europe
43,Egypt,1,0,0,0,1,0,Africa
44,Estonia,1,+1,0,0,0,0,Europe
45,Georgia,1,0,0,0,0,0,Asia
46,North Macedonia,1,0,0,0,0,0,Europe
47,Nepal,1,0,0,0,1,0,Asia
48,Norway,1,0,0,0,0,0,Europe
49,Romania,1,0,0,0,0,0,Europe
50,Sri Lanka,1,0,0,0,1,0,Asia
